Level ID,Category,Sort Order,Title,Description,Item Count,Items (Display),Items (Correct Order),Hint,Fact
252,Time Formats,Ascending ↑,"Level 252","Sort 20 time durations ASC",20,"6.41 days | 119 sec | 18.99 hr | 6.52 hr | 11.26 hr | 55.8 min | 60 sec | 3.68 hr | 5.19 days | 50 sec | 6.8 min | 22.48 hr | 56.5 min | 0.08 days | 6.9 min | 6.91 days | 20.73 hr | 39.0 min | 0.01 days | 98 sec","50 sec → 60 sec → 98 sec → 119 sec → 6.8 min → 6.9 min → 0.01 days → 39.0 min → 55.8 min → 56.5 min → 0.08 days → 3.68 hr → 6.52 hr → 11.26 hr → 18.99 hr → 20.73 hr → 22.48 hr → 5.19 days → 6.41 days → 6.91 days","",""
253,Time Formats,Descending ↓,"Level 253","Sort 20 time durations DESC",20,"48.5 min | 21 sec | 15.13 hr | 7 sec | 44.9 min | 7.00 days | 97 sec | 62 sec | 1 sec | 60 sec | 0.99 hr | 105 sec | 1.51 days | 5.04 days | 2.89 days | 22.42 hr | 83 sec | 24 sec | 2.23 days | 85 sec","7.00 days → 5.04 days → 2.89 days → 2.23 days → 1.51 days → 22.42 hr → 15.13 hr → 0.99 hr → 48.5 min → 44.9 min → 105 sec → 97 sec → 85 sec → 83 sec → 62 sec → 60 sec → 24 sec → 21 sec → 7 sec → 1 sec","",""
254,Time Formats,Ascending ↑,"Level 254","Sort 20 time durations ASC",20,"83 sec | 14.74 hr | 97 sec | 18.4 min | 11.11 hr | 23 sec | 0.75 days | 4.13 days | 43.0 min | 19.94 hr | 79 sec | 6.82 days | 33.4 min | 70 sec | 19.40 hr | 35 sec | 2.50 days | 102 sec | 0.82 hr | 39.9 min","23 sec → 35 sec → 70 sec → 79 sec → 83 sec → 97 sec → 102 sec → 18.4 min → 33.4 min → 39.9 min → 43.0 min → 0.82 hr → 11.11 hr → 14.74 hr → 0.75 days → 19.40 hr → 19.94 hr → 2.50 days → 4.13 days → 6.82 days","",""
255,Time Formats,Ascending ↑,"Level 255","Sort 20 time durations ASC",20,"20.55 hr | 39 sec | 111 sec | 45.1 min | 2.1 min | 5.70 days | 37.2 min | 9.62 hr | 117 sec | 120 sec | 5.02 days | 28.1 min | 14.96 hr | 14.63 hr | 3 sec | 18.75 hr | 1.75 days | 1.48 days | 4.62 days | 67 sec","3 sec → 39 sec → 67 sec → 111 sec → 117 sec → 120 sec → 2.1 min → 28.1 min → 37.2 min → 45.1 min → 9.62 hr → 14.63 hr → 14.96 hr → 18.75 hr → 20.55 hr → 1.48 days → 1.75 days → 4.62 days → 5.02 days → 5.70 days","",""
256,Time Formats,Ascending ↑,"Level 256","Sort 21 time durations ASC",21,"14.90 hr | 4.34 days | 51.5 min | 44 sec | 2.05 days | 3.26 days | 21.8 min | 1.16 days | 84 sec | 16.2 min | 4.17 hr | 22.16 hr | 6.56 days | 17 sec | 6.04 days | 64 sec | 59 sec | 105 sec | 0.03 days | 10.85 hr | 15.4 min","17 sec → 44 sec → 59 sec → 64 sec → 84 sec → 105 sec → 15.4 min → 16.2 min → 21.8 min → 0.03 days → 51.5 min → 4.17 hr → 10.85 hr → 14.90 hr → 22.16 hr → 1.16 days → 2.05 days → 3.26 days → 4.34 days → 6.04 days → 6.56 days","",""
257,Time Formats,Descending ↓,"Level 257","Sort 21 time durations DESC",21,"34.0 min | 33.0 min | 80 sec | 103 sec | 16.49 hr | 0.33 days | 12.6 min | 92 sec | 16.0 min | 1.3 min | 68 sec | 74 sec | 3.72 days | 42 sec | 45 sec | 16.78 hr | 10.33 hr | 2.28 days | 29.0 min | 87 sec | 10 sec","3.72 days → 2.28 days → 16.78 hr → 16.49 hr → 10.33 hr → 0.33 days → 34.0 min → 33.0 min → 29.0 min → 16.0 min → 12.6 min → 103 sec → 92 sec → 87 sec → 80 sec → 1.3 min → 74 sec → 68 sec → 45 sec → 42 sec → 10 sec","",""
258,Time Formats,Ascending ↑,"Level 258","Sort 21 time durations ASC",21,"10.64 hr | 28.9 min | 16.59 hr | 5.52 days | 2.66 days | 99 sec | 10.19 hr | 2.73 days | 44 sec | 0.9 min | 4.12 days | 4.76 days | 5.47 hr | 4.71 hr | 7.4 min | 52.6 min | 115 sec | 52.9 min | 19.13 hr | 15.2 min | 1.70 hr","44 sec → 0.9 min → 99 sec → 115 sec → 7.4 min → 15.2 min → 28.9 min → 52.6 min → 52.9 min → 1.70 hr → 4.71 hr → 5.47 hr → 10.19 hr → 10.64 hr → 16.59 hr → 19.13 hr → 2.66 days → 2.73 days → 4.12 days → 4.76 days → 5.52 days","",""
259,Time Formats,Ascending ↑,"Level 259","Sort 21 time durations ASC",21,"12.99 hr | 12.64 hr | 48.1 min | 5.14 days | 7.6 min | 26.8 min | 11.56 hr | 0.44 days | 16.69 hr | 48.2 min | 6.7 min | 2 sec | 28.4 min | 20.53 hr | 38.2 min | 3.86 days | 68 sec | 7.1 min | 18.23 hr | 7.8 min | 20.0 min","2 sec → 68 sec → 6.7 min → 7.1 min → 7.6 min → 7.8 min → 20.0 min → 26.8 min → 28.4 min → 38.2 min → 48.1 min → 48.2 min → 0.44 days → 11.56 hr → 12.64 hr → 12.99 hr → 16.69 hr → 18.23 hr → 20.53 hr → 3.86 days → 5.14 days","",""
260,Time Formats,Ascending ↑,"Level 260","Sort 22 time durations ASC",22,"4.74 days | 2.86 days | 6.71 days | 85 sec | 61 sec | 98 sec | 2.37 days | 1.58 days | 104 sec | 13.5 min | 5.22 days | 4.99 days | 16.86 hr | 9.2 min | 9.63 hr | 12.84 hr | 6.95 days | 28.9 min | 37.6 min | 4.04 days | 2.75 hr | 1.92 hr","61 sec → 85 sec → 98 sec → 104 sec → 9.2 min → 13.5 min → 28.9 min → 37.6 min → 1.92 hr → 2.75 hr → 9.63 hr → 12.84 hr → 16.86 hr → 1.58 days → 2.37 days → 2.86 days → 4.04 days → 4.74 days → 4.99 days → 5.22 days → 6.71 days → 6.95 days","",""
261,Time Formats,Descending ↓,"Level 261","Sort 22 time durations DESC",22,"43.4 min | 90 sec | 21.28 hr | 22.52 hr | 8.57 hr | 19.70 hr | 53 sec | 18.10 hr | 12.9 min | 57.0 min | 38 sec | 22.30 hr | 49 sec | 95 sec | 3.32 days | 6.2 min | 6.25 hr | 1.73 days | 31 sec | 75 sec | 27.2 min | 7.2 min","3.32 days → 1.73 days → 22.52 hr → 22.30 hr → 21.28 hr → 19.70 hr → 18.10 hr → 8.57 hr → 6.25 hr → 57.0 min → 43.4 min → 27.2 min → 12.9 min → 7.2 min → 6.2 min → 95 sec → 90 sec → 75 sec → 53 sec → 49 sec → 38 sec → 31 sec","",""
262,Time Formats,Descending ↓,"Level 262","Sort 22 time durations DESC",22,"15.96 hr | 62 sec | 12.61 hr | 69 sec | 94 sec | 6.69 hr | 4.62 days | 23.95 hr | 34 sec | 0.20 days | 3.05 days | 4.29 days | 40 sec | 16 sec | 4.10 hr | 15.39 hr | 23.8 min | 6.14 hr | 6.6 min | 1.84 days | 83 sec | 21.79 hr","4.62 days → 4.29 days → 3.05 days → 1.84 days → 23.95 hr → 21.79 hr → 15.96 hr → 15.39 hr → 12.61 hr → 6.69 hr → 6.14 hr → 0.20 days → 4.10 hr → 23.8 min → 6.6 min → 94 sec → 83 sec → 69 sec → 62 sec → 40 sec → 34 sec → 16 sec","",""
263,Time Formats,Ascending ↑,"Level 263","Sort 22 time durations ASC",22,"0.42 days | 17.75 hr | 4.92 hr | 45.9 min | 3.81 hr | 7 sec | 27.8 min | 99 sec | 27.6 min | 37.2 min | 0.56 days | 3.75 days | 7.39 hr | 3.98 days | 16.99 hr | 19.5 min | 10.8 min | 4.35 days | 7.00 days | 0.70 hr | 49 sec | 6.61 days","7 sec → 49 sec → 99 sec → 10.8 min → 19.5 min → 27.6 min → 27.8 min → 37.2 min → 0.70 hr → 45.9 min → 3.81 hr → 4.92 hr → 7.39 hr → 0.42 days → 0.56 days → 16.99 hr → 17.75 hr → 3.75 days → 3.98 days → 4.35 days → 6.61 days → 7.00 days","",""
264,Time Formats,Descending ↓,"Level 264","Sort 23 time durations DESC",23,"17.83 hr | 20.38 hr | 96 sec | 70 sec | 1.34 hr | 3.9 min | 7.66 hr | 6.32 days | 86 sec | 5.48 days | 9 sec | 17.6 min | 52.9 min | 28 sec | 4.93 days | 82 sec | 5.95 days | 28.1 min | 6.31 days | 15.19 hr | 15.1 min | 25 sec | 19.41 hr","6.32 days → 6.31 days → 5.95 days → 5.48 days → 4.93 days → 20.38 hr → 19.41 hr → 17.83 hr → 15.19 hr → 7.66 hr → 1.34 hr → 52.9 min → 28.1 min → 17.6 min → 15.1 min → 3.9 min → 96 sec → 86 sec → 82 sec → 70 sec → 28 sec → 25 sec → 9 sec","",""
265,Time Formats,Ascending ↑,"Level 265","Sort 23 time durations ASC",23,"0.2 min | 5.90 days | 2.5 min | 42.3 min | 20.13 hr | 119 sec | 102 sec | 5.56 days | 57 sec | 47.8 min | 7.7 min | 53 sec | 3.4 min | 43 sec | 23.0 min | 79 sec | 1.27 days | 60.0 min | 17.4 min | 48 sec | 36 sec | 1.20 days | 3.95 days","0.2 min → 36 sec → 43 sec → 48 sec → 53 sec → 57 sec → 79 sec → 102 sec → 119 sec → 2.5 min → 3.4 min → 7.7 min → 17.4 min → 23.0 min → 42.3 min → 47.8 min → 60.0 min → 20.13 hr → 1.20 days → 1.27 days → 3.95 days → 5.56 days → 5.90 days","",""
266,Time Formats,Descending ↓,"Level 266","Sort 23 time durations DESC",23,"94 sec | 5.3 min | 18.1 min | 6.29 days | 87 sec | 109 sec | 55 sec | 1.30 days | 29.6 min | 93 sec | 21.10 hr | 2.18 days | 73 sec | 0.32 hr | 18.17 hr | 4.19 days | 115 sec | 50 sec | 29.3 min | 2.05 days | 4.42 hr | 59.5 min | 51.5 min","6.29 days → 4.19 days → 2.18 days → 2.05 days → 1.30 days → 21.10 hr → 18.17 hr → 4.42 hr → 59.5 min → 51.5 min → 29.6 min → 29.3 min → 0.32 hr → 18.1 min → 5.3 min → 115 sec → 109 sec → 94 sec → 93 sec → 87 sec → 73 sec → 55 sec → 50 sec","",""
267,Time Formats,Descending ↓,"Level 267","Sort 23 time durations DESC",23,"47.4 min | 15.1 min | 23.71 hr | 16.32 hr | 4.4 min | 1.64 days | 26 sec | 0.05 days | 25 sec | 3.51 days | 65 sec | 59 sec | 41.7 min | 6 sec | 101 sec | 11.40 hr | 1.8 min | 42.2 min | 53.4 min | 102 sec | 6.27 hr | 12.87 hr | 4.44 hr","3.51 days → 1.64 days → 23.71 hr → 16.32 hr → 12.87 hr → 11.40 hr → 6.27 hr → 4.44 hr → 0.05 days → 53.4 min → 47.4 min → 42.2 min → 41.7 min → 15.1 min → 4.4 min → 1.8 min → 102 sec → 101 sec → 65 sec → 59 sec → 26 sec → 25 sec → 6 sec","",""
268,Time Formats,Ascending ↑,"Level 268","Sort 24 time durations ASC",24,"17.6 min | 9.20 hr | 66 sec | 45.2 min | 16.89 hr | 0.33 days | 13.0 min | 14.4 min | 16 sec | 6.03 days | 0.49 days | 40.6 min | 73 sec | 46.2 min | 6.41 days | 5.05 days | 111 sec | 4.90 days | 48.4 min | 1.12 days | 5 sec | 113 sec | 1.84 days | 11.0 min","5 sec → 16 sec → 66 sec → 73 sec → 111 sec → 113 sec → 11.0 min → 13.0 min → 14.4 min → 17.6 min → 40.6 min → 45.2 min → 46.2 min → 48.4 min → 0.33 days → 9.20 hr → 0.49 days → 16.89 hr → 1.12 days → 1.84 days → 4.90 days → 5.05 days → 6.03 days → 6.41 days","",""
269,Time Formats,Descending ↓,"Level 269","Sort 24 time durations DESC",24,"5.38 days | 9.8 min | 20.9 min | 54.1 min | 15.1 min | 52 sec | 57.7 min | 10.5 min | 21.04 hr | 14.99 hr | 19 sec | 30.4 min | 3.88 days | 44 sec | 42 sec | 4.37 days | 49.3 min | 5.05 days | 21.6 min | 9 sec | 21.03 hr | 4.65 hr | 1.51 days | 0.49 days","5.38 days → 5.05 days → 4.37 days → 3.88 days → 1.51 days → 21.04 hr → 21.03 hr → 14.99 hr → 0.49 days → 4.65 hr → 57.7 min → 54.1 min → 49.3 min → 30.4 min → 21.6 min → 20.9 min → 15.1 min → 10.5 min → 9.8 min → 52 sec → 44 sec → 42 sec → 19 sec → 9 sec","",""
270,Time Formats,Ascending ↑,"Level 270","Sort 24 time durations ASC",24,"3.19 hr | 2.55 days | 4.6 min | 1.80 days | 6.37 days | 3.51 days | 0.81 days | 77 sec | 23 sec | 36.3 min | 2.70 hr | 0.41 days | 5.51 hr | 9.4 min | 14.9 min | 11.94 hr | 102 sec | 24.5 min | 0.45 days | 12.3 min | 4.4 min | 27.6 min | 6.73 hr | 6.0 min","23 sec → 77 sec → 102 sec → 4.4 min → 4.6 min → 6.0 min → 9.4 min → 12.3 min → 14.9 min → 24.5 min → 27.6 min → 36.3 min → 2.70 hr → 3.19 hr → 5.51 hr → 6.73 hr → 0.41 days → 0.45 days → 11.94 hr → 0.81 days → 1.80 days → 2.55 days → 3.51 days → 6.37 days","",""
271,Time Formats,Ascending ↑,"Level 271","Sort 24 time durations ASC",24,"62 sec | 1.33 days | 4.79 days | 55.1 min | 1.48 days | 69 sec | 106 sec | 29.3 min | 71 sec | 6.1 min | 110 sec | 3.0 min | 23.61 hr | 29.5 min | 1 sec | 86 sec | 0.74 days | 33 sec | 32 sec | 9.57 hr | 84 sec | 102 sec | 32.1 min | 49.6 min","1 sec → 32 sec → 33 sec → 62 sec → 69 sec → 71 sec → 84 sec → 86 sec → 102 sec → 106 sec → 110 sec → 3.0 min → 6.1 min → 29.3 min → 29.5 min → 32.1 min → 49.6 min → 55.1 min → 9.57 hr → 0.74 days → 23.61 hr → 1.33 days → 1.48 days → 4.79 days","",""
272,Time Formats,Descending ↓,"Level 272","Sort 25 time durations DESC",25,"0.29 days | 10.84 hr | 40.4 min | 6.56 days | 4.45 hr | 0.26 days | 2.12 days | 2.51 hr | 11.33 hr | 36 sec | 0.07 days | 51.8 min | 1.1 min | 7.39 hr | 0.63 days | 11 sec | 72 sec | 18.66 hr | 42.9 min | 36.9 min | 11.5 min | 4.59 hr | 0.67 days | 0.68 days | 16.73 hr","6.56 days → 2.12 days → 18.66 hr → 16.73 hr → 0.68 days → 0.67 days → 0.63 days → 11.33 hr → 10.84 hr → 7.39 hr → 0.29 days → 0.26 days → 4.59 hr → 4.45 hr → 2.51 hr → 0.07 days → 51.8 min → 42.9 min → 40.4 min → 36.9 min → 11.5 min → 72 sec → 1.1 min → 36 sec → 11 sec","",""
273,Time Formats,Descending ↓,"Level 273","Sort 25 time durations DESC",25,"45.3 min | 11.80 hr | 10.33 hr | 5.37 days | 12.61 hr | 2.74 hr | 5.21 days | 2.47 days | 13 sec | 41.7 min | 52.7 min | 17 sec | 0.16 hr | 16.51 hr | 106 sec | 7.41 hr | 26.1 min | 34.6 min | 0.28 days | 68 sec | 16.88 hr | 2.50 days | 0.15 hr | 22.7 min | 10.49 hr","5.37 days → 5.21 days → 2.50 days → 2.47 days → 16.88 hr → 16.51 hr → 12.61 hr → 11.80 hr → 10.49 hr → 10.33 hr → 7.41 hr → 0.28 days → 2.74 hr → 52.7 min → 45.3 min → 41.7 min → 34.6 min → 26.1 min → 22.7 min → 0.16 hr → 0.15 hr → 106 sec → 68 sec → 17 sec → 13 sec","",""
274,Time Formats,Descending ↓,"Level 274","Sort 25 time durations DESC",25,"46.2 min | 41.5 min | 9.78 hr | 3.83 days | 18.63 hr | 57.6 min | 59.4 min | 4.97 hr | 6 sec | 18.76 hr | 46.2 min | 1.4 min | 20.5 min | 27 sec | 4.23 hr | 50.8 min | 14.25 hr | 2.35 hr | 2.70 days | 15.45 hr | 103 sec | 1.27 days | 0.93 days | 34.8 min | 15.78 hr","3.83 days → 2.70 days → 1.27 days → 0.93 days → 18.76 hr → 18.63 hr → 15.78 hr → 15.45 hr → 14.25 hr → 9.78 hr → 4.97 hr → 4.23 hr → 2.35 hr → 59.4 min → 57.6 min → 50.8 min → 46.2 min → 46.2 min → 41.5 min → 34.8 min → 20.5 min → 103 sec → 1.4 min → 27 sec → 6 sec","",""
275,Time Formats,Ascending ↑,"Level 275","Sort 25 time durations ASC",25,"3.15 days | 42 sec | 17.61 hr | 22.26 hr | 16.23 hr | 6.58 days | 75 sec | 4.71 days | 5.82 days | 47 sec | 3.45 days | 7.68 hr | 12.17 hr | 18.4 min | 103 sec | 107 sec | 12.56 hr | 2.72 days | 3.44 days | 36.1 min | 40 sec | 50.0 min | 59.8 min | 1.19 hr | 56 sec","40 sec → 42 sec → 47 sec → 56 sec → 75 sec → 103 sec → 107 sec → 18.4 min → 36.1 min → 50.0 min → 59.8 min → 1.19 hr → 7.68 hr → 12.17 hr → 12.56 hr → 16.23 hr → 17.61 hr → 22.26 hr → 2.72 days → 3.15 days → 3.44 days → 3.45 days → 4.71 days → 5.82 days → 6.58 days","",""
276,Time Formats,Descending ↓,"Level 276","Sort 26 time durations DESC",26,"50.9 min | 4 sec | 13.9 min | 10.4 min | 91 sec | 35.4 min | 87 sec | 42 sec | 119 sec | 120 sec | 15.01 hr | 0.21 hr | 6.33 hr | 4.02 days | 4.41 days | 7.38 hr | 2.56 days | 59.9 min | 23.65 hr | 48.7 min | 56.4 min | 19.16 hr | 1.63 hr | 96 sec | 21.8 min | 6.99 days","6.99 days → 4.41 days → 4.02 days → 2.56 days → 23.65 hr → 19.16 hr → 15.01 hr → 7.38 hr → 6.33 hr → 1.63 hr → 59.9 min → 56.4 min → 50.9 min → 48.7 min → 35.4 min → 21.8 min → 13.9 min → 0.21 hr → 10.4 min → 120 sec → 119 sec → 96 sec → 91 sec → 87 sec → 42 sec → 4 sec","",""
277,Time Formats,Ascending ↑,"Level 277","Sort 26 time durations ASC",26,"4.01 days | 36.1 min | 13.9 min | 95 sec | 11.7 min | 3.36 days | 46 sec | 8.82 hr | 0.99 hr | 0.69 days | 0.24 days | 2.39 days | 58.3 min | 11.69 hr | 28.3 min | 24 sec | 2.03 days | 7.62 hr | 3.66 days | 8 sec | 40.7 min | 31.0 min | 76 sec | 58 sec | 30.8 min | 22.34 hr","8 sec → 24 sec → 46 sec → 58 sec → 76 sec → 95 sec → 11.7 min → 13.9 min → 28.3 min → 30.8 min → 31.0 min → 36.1 min → 40.7 min → 58.3 min → 0.99 hr → 0.24 days → 7.62 hr → 8.82 hr → 11.69 hr → 0.69 days → 22.34 hr → 2.03 days → 2.39 days → 3.36 days → 3.66 days → 4.01 days","",""
278,Time Formats,Descending ↓,"Level 278","Sort 26 time durations DESC",26,"21.67 hr | 14.7 min | 1.26 days | 73 sec | 56.6 min | 57.9 min | 1.60 days | 62 sec | 2.35 days | 0.80 days | 2.17 days | 21.3 min | 2.33 days | 4.25 days | 20.32 hr | 23.99 hr | 16.6 min | 94 sec | 44.6 min | 38 sec | 5.14 hr | 9.25 hr | 52.4 min | 10 sec | 59.0 min | 57.0 min","4.25 days → 2.35 days → 2.33 days → 2.17 days → 1.60 days → 1.26 days → 23.99 hr → 21.67 hr → 20.32 hr → 0.80 days → 9.25 hr → 5.14 hr → 59.0 min → 57.9 min → 57.0 min → 56.6 min → 52.4 min → 44.6 min → 21.3 min → 16.6 min → 14.7 min → 94 sec → 73 sec → 62 sec → 38 sec → 10 sec","",""
279,Time Formats,Descending ↓,"Level 279","Sort 26 time durations DESC",26,"12.6 min | 16.19 hr | 49 sec | 46 sec | 22.76 hr | 3.01 days | 0.22 days | 8.67 hr | 31 sec | 2.90 days | 53.9 min | 45.2 min | 18.43 hr | 9.06 hr | 68 sec | 16 sec | 86 sec | 5.04 days | 5.93 days | 16.94 hr | 13.92 hr | 0.24 hr | 10.58 hr | 7.04 hr | 19.20 hr | 3.89 days","5.93 days → 5.04 days → 3.89 days → 3.01 days → 2.90 days → 22.76 hr → 19.20 hr → 18.43 hr → 16.94 hr → 16.19 hr → 13.92 hr → 10.58 hr → 9.06 hr → 8.67 hr → 7.04 hr → 0.22 days → 53.9 min → 45.2 min → 0.24 hr → 12.6 min → 86 sec → 68 sec → 49 sec → 46 sec → 31 sec → 16 sec","",""
280,Time Formats,Ascending ↑,"Level 280","Sort 27 time durations ASC",27,"2.5 min | 34 sec | 20.77 hr | 57.8 min | 55.4 min | 41.0 min | 4 sec | 1.09 days | 77 sec | 34.7 min | 6.1 min | 6.95 days | 44.4 min | 21 sec | 50.0 min | 2.12 days | 9.82 hr | 5.14 days | 6.10 days | 34.4 min | 12.59 hr | 5.94 days | 8.03 hr | 103 sec | 90 sec | 4.41 days | 3.27 days","4 sec → 21 sec → 34 sec → 77 sec → 90 sec → 103 sec → 2.5 min → 6.1 min → 34.4 min → 34.7 min → 41.0 min → 44.4 min → 50.0 min → 55.4 min → 57.8 min → 8.03 hr → 9.82 hr → 12.59 hr → 20.77 hr → 1.09 days → 2.12 days → 3.27 days → 4.41 days → 5.14 days → 5.94 days → 6.10 days → 6.95 days","",""
281,Time Formats,Ascending ↑,"Level 281","Sort 27 time durations ASC",27,"38 sec | 12.76 hr | 35.1 min | 57.9 min | 52.7 min | 12.46 hr | 3.30 hr | 5.96 days | 25.9 min | 18.2 min | 15.3 min | 5.56 days | 17.84 hr | 116 sec | 19.11 hr | 2.95 hr | 106 sec | 50 sec | 78 sec | 1.79 days | 3.82 hr | 18.03 hr | 37.2 min | 21 sec | 10.42 hr | 23.77 hr | 13.83 hr","21 sec → 38 sec → 50 sec → 78 sec → 106 sec → 116 sec → 15.3 min → 18.2 min → 25.9 min → 35.1 min → 37.2 min → 52.7 min → 57.9 min → 2.95 hr → 3.30 hr → 3.82 hr → 10.42 hr → 12.46 hr → 12.76 hr → 13.83 hr → 17.84 hr → 18.03 hr → 19.11 hr → 23.77 hr → 1.79 days → 5.56 days → 5.96 days","",""
282,Time Formats,Ascending ↑,"Level 282","Sort 27 time durations ASC",27,"49.0 min | 41.2 min | 20.67 hr | 17.04 hr | 4.13 days | 23.53 hr | 16.73 hr | 3.65 hr | 1.12 days | 20 sec | 1 sec | 4.78 days | 3.9 min | 59 sec | 6.32 hr | 22.78 hr | 2.34 hr | 51.7 min | 86 sec | 33.7 min | 10.2 min | 7.0 min | 34 sec | 2.87 days | 91 sec | 12.22 hr | 9.96 hr","1 sec → 20 sec → 34 sec → 59 sec → 86 sec → 91 sec → 3.9 min → 7.0 min → 10.2 min → 33.7 min → 41.2 min → 49.0 min → 51.7 min → 2.34 hr → 3.65 hr → 6.32 hr → 9.96 hr → 12.22 hr → 16.73 hr → 17.04 hr → 20.67 hr → 22.78 hr → 23.53 hr → 1.12 days → 2.87 days → 4.13 days → 4.78 days","",""
283,Time Formats,Descending ↓,"Level 283","Sort 27 time durations DESC",27,"50.1 min | 46.2 min | 50.2 min | 5.06 days | 5.48 hr | 8 sec | 53 sec | 3.39 hr | 7.1 min | 21.89 hr | 50.4 min | 106 sec | 23.45 hr | 14.3 min | 3.45 days | 55.5 min | 2.05 hr | 16.49 hr | 11.33 hr | 7.99 hr | 52.8 min | 5.74 hr | 116 sec | 31.7 min | 6.28 days | 27.2 min | 17.5 min","6.28 days → 5.06 days → 3.45 days → 23.45 hr → 21.89 hr → 16.49 hr → 11.33 hr → 7.99 hr → 5.74 hr → 5.48 hr → 3.39 hr → 2.05 hr → 55.5 min → 52.8 min → 50.4 min → 50.2 min → 50.1 min → 46.2 min → 31.7 min → 27.2 min → 17.5 min → 14.3 min → 7.1 min → 116 sec → 106 sec → 53 sec → 8 sec","",""
284,Time Formats,Ascending ↑,"Level 284","Sort 28 time durations ASC",28,"48.7 min | 5.54 days | 1.11 days | 90 sec | 2.95 days | 7 sec | 1.35 hr | 8 sec | 28.3 min | 70 sec | 1.97 days | 23.47 hr | 13.47 hr | 87 sec | 5.57 days | 13.07 hr | 5.36 days | 5.11 days | 5.02 days | 5.64 days | 7.83 hr | 29 sec | 111 sec | 12.27 hr | 19 sec | 115 sec | 23.17 hr | 3.1 min","7 sec → 8 sec → 19 sec → 29 sec → 70 sec → 87 sec → 90 sec → 111 sec → 115 sec → 3.1 min → 28.3 min → 48.7 min → 1.35 hr → 7.83 hr → 12.27 hr → 13.07 hr → 13.47 hr → 23.17 hr → 23.47 hr → 1.11 days → 1.97 days → 2.95 days → 5.02 days → 5.11 days → 5.36 days → 5.54 days → 5.57 days → 5.64 days","",""
285,Time Formats,Ascending ↑,"Level 285","Sort 28 time durations ASC",28,"93 sec | 2 sec | 28.7 min | 7.60 hr | 39.3 min | 7.98 hr | 23.38 hr | 2.07 hr | 0.34 hr | 84 sec | 10.54 hr | 1.9 min | 5.52 days | 48.2 min | 41 sec | 58.8 min | 15.60 hr | 42.7 min | 7.81 hr | 10.9 min | 48.4 min | 16.97 hr | 2.38 hr | 16.2 min | 6.37 days | 9.9 min | 32.4 min | 0.35 days","2 sec → 41 sec → 84 sec → 93 sec → 1.9 min → 9.9 min → 10.9 min → 16.2 min → 0.34 hr → 28.7 min → 32.4 min → 39.3 min → 42.7 min → 48.2 min → 48.4 min → 58.8 min → 2.07 hr → 2.38 hr → 7.60 hr → 7.81 hr → 7.98 hr → 0.35 days → 10.54 hr → 15.60 hr → 16.97 hr → 23.38 hr → 5.52 days → 6.37 days","",""
286,Time Formats,Descending ↓,"Level 286","Sort 28 time durations DESC",28,"6.88 hr | 10.0 min | 47.2 min | 51.8 min | 6.9 min | 84 sec | 65 sec | 75 sec | 26 sec | 6.2 min | 34.8 min | 45.4 min | 5.08 hr | 4.62 days | 32 sec | 17.96 hr | 34.0 min | 14.10 hr | 0.75 days | 5 sec | 23.18 hr | 0.56 hr | 51 sec | 34.6 min | 111 sec | 23.81 hr | 49 sec | 119 sec","4.62 days → 23.81 hr → 23.18 hr → 17.96 hr → 0.75 days → 14.10 hr → 6.88 hr → 5.08 hr → 51.8 min → 47.2 min → 45.4 min → 34.8 min → 34.6 min → 34.0 min → 0.56 hr → 10.0 min → 6.9 min → 6.2 min → 119 sec → 111 sec → 84 sec → 75 sec → 65 sec → 51 sec → 49 sec → 32 sec → 26 sec → 5 sec","",""
287,Time Formats,Descending ↓,"Level 287","Sort 28 time durations DESC",28,"4.99 days | 103 sec | 96 sec | 51.6 min | 2.58 days | 3.49 hr | 15.0 min | 2.78 hr | 6.06 days | 2.76 hr | 2.31 days | 8.45 hr | 5.76 days | 47.0 min | 3.75 days | 4.74 days | 27 sec | 2.92 days | 113 sec | 0.54 hr | 16.59 hr | 48.5 min | 100 sec | 4.51 days | 94 sec | 0.57 days | 17.16 hr | 3.01 days","6.06 days → 5.76 days → 4.99 days → 4.74 days → 4.51 days → 3.75 days → 3.01 days → 2.92 days → 2.58 days → 2.31 days → 17.16 hr → 16.59 hr → 0.57 days → 8.45 hr → 3.49 hr → 2.78 hr → 2.76 hr → 51.6 min → 48.5 min → 47.0 min → 0.54 hr → 15.0 min → 113 sec → 103 sec → 100 sec → 96 sec → 94 sec → 27 sec","",""
288,Time Formats,Ascending ↑,"Level 288","Sort 29 time durations ASC",29,"50.6 min | 6.6 min | 1.39 hr | 2.73 days | 31 sec | 2.58 hr | 8.94 hr | 3.25 days | 43 sec | 30.9 min | 55 sec | 1.72 hr | 1.45 days | 15.10 hr | 19.2 min | 83 sec | 18.67 hr | 81 sec | 46.0 min | 9 sec | 6.08 days | 19.1 min | 6.63 hr | 0.14 days | 5.80 hr | 35.8 min | 8.47 hr | 3.12 days | 92 sec","9 sec → 31 sec → 43 sec → 55 sec → 81 sec → 83 sec → 92 sec → 6.6 min → 19.1 min → 19.2 min → 30.9 min → 35.8 min → 46.0 min → 50.6 min → 1.39 hr → 1.72 hr → 2.58 hr → 0.14 days → 5.80 hr → 6.63 hr → 8.47 hr → 8.94 hr → 15.10 hr → 18.67 hr → 1.45 days → 2.73 days → 3.12 days → 3.25 days → 6.08 days","",""
